case_id,group,split,variant,status,physical_hash,latency_s,candidate_count,positive_count,recall_at_10,recall_at_20,physical_cache_hit
eval-isolated_zone-0,isolated_zone,train,A3,DEFERRED_USER,35850e330595422ef94192ab64e916ae07720a4feaa07b443bd2b6de840c21ea,,,,,,
eval-isolated_zone-0,isolated_zone,train,A4,DEFERRED_USER,35850e330595422ef94192ab64e916ae07720a4feaa07b443bd2b6de840c21ea,,,,,,
eval-isolated_zone-1,isolated_zone,train,A0,PASS,f7bfb4e932c181de6e6910ad67325389405ef68c66b38f1e3bb1bdb6a5495bca,0.003205249988241121,23,0,,,False
eval-isolated_zone-1,isolated_zone,train,A1,PASS,f7bfb4e932c181de6e6910ad67325389405ef68c66b38f1e3bb1bdb6a5495bca,0.002728499996010214,23,0,,,True
eval-isolated_zone-1,isolated_zone,train,A2,PASS,f7bfb4e932c181de6e6910ad67325389405ef68c66b38f1e3bb1bdb6a5495bca,0.005196790996706113,23,0,,,True
eval-isolated_zone-1,isolated_zone,train,A5,PASS,f7bfb4e932c181de6e6910ad67325389405ef68c66b38f1e3bb1bdb6a5495bca,0.005815874988911673,23,0,,,True
eval-isolated_zone-1,isolated_zone,train,A3,DEFERRED_USER,f7bfb4e932c181de6e6910ad67325389405ef68c66b38f1e3bb1bdb6a5495bca,,,,,,
eval-isolated_zone-1,isolated_zone,train,A4,DEFERRED_USER,f7bfb4e932c181de6e6910ad67325389405ef68c66b38f1e3bb1bdb6a5495bca,,,,,,
eval-isolated_zone-2,isolated_zone,train,A0,PASS,58b7a862fe9bce29a869780481cd8c26ec2ad455440a2b9daf142645b0b24563,0.0038565419963561,23,0,,,False
eval-isolated_zone-2,isolated_zone,train,A1,PASS,58b7a862fe9bce29a869780481cd8c26ec2ad455440a2b9daf142645b0b24563,0.003056832996662706,23,0,,,True
eval-isolated_zone-2,isolated_zone,train,A2,PASS,58b7a862fe9bce29a869780481cd8c26ec2ad455440a2b9daf142645b0b24563,0.00491524999961257,23,0,,,True
eval-isolated_zone-2,isolated_zone,train,A5,PASS,58b7a862fe9bce29a869780481cd8c26ec2ad455440a2b9daf142645b0b24563,0.00660054202307947,23,0,,,True
eval-isolated_zone-2,isolated_zone,train,A3,DEFERRED_USER,58b7a862fe9bce29a869780481cd8c26ec2ad455440a2b9daf142645b0b24563,,,,,,
eval-isolated_zone-2,isolated_zone,train,A4,DEFERRED_USER,58b7a862fe9bce29a869780481cd8c26ec2ad455440a2b9daf142645b0b24563,,,,,,
eval-isolated_zone-3,isolated_zone,train,A0,PASS,380168bb8dd8dd21827ea999375978db8530c46c354a961e3093888a7b23c5e6,0.003442250017542392,23,0,,,False
